,db_id,original_sql
1,tpch,"SELECT MIN(c.c_name) AS min_c_c_name, COUNT(c.c_address) AS count_c_c_address, SUM(c.c_custkey) AS sum_c_c_custkey, c.c_address AS c_c_address, COUNT(o.o_comment) AS count_o_o_comment FROM customer c, orders o WHERE c.c_custkey = (SELECT COUNT(DISTINCT l_shipmode) FROM lineitem JOIN (SELECT o_orderkey FROM orders UNION ALL SELECT o_orderkey FROM orders WHERE o_shippriority = 1) AS order_union_1 ON lineitem.l_orderkey = order_union_1.o_orderkey) AND o.o_orderkey IN (SELECT DISTINCT o_orderkey FROM orders UNION SELECT l_orderkey FROM lineitem WHERE l_quantity > 30) AND EXISTS (SELECT DISTINCT p_retailprice FROM (SELECT p_retailprice FROM part UNION ALL SELECT c_acctbal FROM customer) AS u_3 JOIN lineitem ON u_3.p_retailprice = l_tax) AND c.c_acctbal > (SELECT COUNT(DISTINCT s_suppkey) FROM supplier WHERE s_nationkey IN (SELECT n_nationkey FROM nation WHERE n_regionkey = 3) AND s_acctbal < 3000 AND s_phone LIKE '27%') AND EXISTS (SELECT c_address FROM (SELECT c_address, c_mktsegment FROM customer WHERE c_mktsegment = 'AUTOMOBILE' ) AS subq_5 WHERE c_mktsegment != 'BUILDING' ORDER BY c_mktsegment) AND o.o_custkey = c.c_custkey AND o.o_orderdate <= '1992-07-08' AND o.o_orderpriority LIKE '4-NOT SPECIFIED%' AND c.c_nationkey > 12 AND c.c_custkey >= 19833 AND o.o_custkey = 104377  GROUP BY c.c_address LIMIT 100;"
2,tpch,"SELECT MAX(s.s_nationkey) AS max_s_s_nationkey, MAX(p.p_comment) AS max_p_p_comment, COUNT(s.s_suppkey) AS count_s_s_suppkey, COUNT(p.p_mfgr) AS count_p_p_mfgr, COUNT(p.p_brand) AS count_p_p_brand FROM part p, supplier s WHERE EXISTS (SELECT c_comment FROM (SELECT c_comment, c_custkey FROM customer ) AS subq_1 UNION SELECT l_shipmode FROM lineitem) AND EXISTS (SELECT COUNT(DISTINCT o_orderkey) FROM orders WHERE o_orderpriority = '1-URGENT' UNION SELECT COUNT(DISTINCT ps_partkey) FROM partsupp WHERE ps_supplycost > 100) AND s.s_address IN (SELECT DISTINCT s_address FROM supplier UNION SELECT s_phone FROM supplier WHERE s_nationkey = 10) AND p.p_brand IN (SELECT p_brand FROM (SELECT p_brand, p_retailprice FROM part ) AS subq_4 UNION SELECT s_comment FROM supplier) AND p.p_size > (SELECT COUNT(*) FROM (SELECT o_totalprice FROM orders UNION ALL SELECT l_extendedprice FROM lineitem ) t) AND s.s_suppkey >= 1356 AND p.p_container LIKE 'MED BAG%' AND p.p_retailprice >= 1135.6874317944726 AND p.p_size >= 10 AND p.p_brand LIKE 'Brand#41%'  LIMIT 50;"
3,tpch,"SELECT SUM(l.l_orderkey) AS sum_l_l_orderkey, COUNT(l.l_shipinstruct) AS count_l_l_shipinstruct, COUNT(l.l_suppkey) AS count_l_l_suppkey, MAX(l.l_tax) AS max_l_l_tax, MIN(l.l_returnflag) AS min_l_l_returnflag FROM customer c, lineitem l, partsupp ps WHERE c.c_acctbal = (SELECT COUNT(*) FROM (SELECT o_clerk FROM orders UNION ALL SELECT p_mfgr FROM part ) t) AND l.l_tax = (SELECT COUNT(DISTINCT l_linenumber) FROM (SELECT l_linenumber, l_discount FROM lineitem WHERE l_extendedprice > 1000 ) t) AND EXISTS (SELECT MAX(p_retailprice) FROM (SELECT p_retailprice, p_container FROM part WHERE p_size > 10 UNION ALL SELECT p_retailprice, p_container FROM part WHERE p_size <= 10 GROUP BY p_retailprice, p_container) p JOIN (SELECT ps_partkey, ps_supplycost FROM partsupp) ps ON p.p_retailprice = ps.ps_partkey GROUP BY ps.ps_supplycost) AND l.l_extendedprice = (SELECT COUNT(DISTINCT p_partkey) FROM (SELECT p_partkey, p_name FROM part WHERE p_size > 20 ) t) AND ps.ps_supplycost > (SELECT COUNT(DISTINCT l_orderkey) FROM (SELECT l_orderkey FROM lineitem WHERE l_shipdate > '1998-01-01' UNION ALL SELECT o_orderkey FROM orders WHERE o_orderdate < '1995-01-01') t JOIN customer ON c_custkey = t.l_orderkey) AND ps.ps_partkey = l.l_partkey AND ps.ps_suppkey = l.l_suppkey AND ps.ps_supplycost = 640.9723574611052 AND c.c_custkey <= 19213 AND l.l_shipmode LIKE 'MAIL%' AND ps.ps_suppkey = 2268 AND c.c_name LIKE 'Customer#000010237%'  LIMIT 50;"
4,tpch,"SELECT SUM(l.l_tax) AS sum_l_l_tax, s.s_phone AS s_s_phone, MAX(s.s_acctbal) AS max_s_s_acctbal, COUNT(l.l_quantity) AS count_l_l_quantity, AVG(l.l_quantity) AS avg_l_l_quantity FROM lineitem l, partsupp ps, supplier s WHERE ps.ps_supplycost = (SELECT COUNT(*) FROM (SELECT o_orderpriority FROM orders UNION ALL SELECT p_container FROM part ) t) AND l.l_quantity > (SELECT COUNT(DISTINCT r_regionkey) FROM region WHERE r_name = 'ASIA' AND (r_regionkey = 1 OR r_regionkey = 2) AND r_comment LIKE 'B%') AND s.s_suppkey = (SELECT COUNT(DISTINCT p_size) FROM part JOIN (SELECT ps_partkey FROM partsupp UNION ALL SELECT ps_partkey FROM partsupp WHERE ps_supplycost < 10) AS partsupp_union_3 ON part.p_partkey = partsupp_union_3.ps_partkey) AND EXISTS (SELECT DISTINCT p_comment FROM part UNION SELECT DISTINCT s_comment FROM supplier WHERE s_acctbal < 3500 UNION SELECT DISTINCT l_comment FROM lineitem WHERE l_quantity > 20) AND EXISTS (SELECT n_5.n_name FROM nation n_5 WHERE n_5.n_nationkey IN (SELECT c_5.c_nationkey FROM customer c_5 WHERE c_5.c_acctbal > 500 UNION ALL SELECT s_5.s_nationkey FROM supplier s_5 WHERE s_5.s_acctbal < 1000 GROUP BY s_5.s_nationkey) AND n_5.n_regionkey = 2) AND ps.ps_suppkey = s.s_suppkey AND ps.ps_partkey = l.l_partkey AND ps.ps_suppkey = l.l_suppkey AND l.l_orderkey <= 3036724 AND l.l_partkey > 69675 AND l.l_commitdate < '1997-11-23' AND s.s_acctbal > 2692.4439012736166 AND l.l_suppkey = 9700  GROUP BY s.s_phone LIMIT 100;"
5,tpch,"SELECT COUNT(c.c_mktsegment) AS count_c_c_mktsegment, MIN(l.l_commitDATE) AS min_l_l_commitDATE, AVG(c.c_acctbal) AS avg_c_c_acctbal, l.l_suppkey AS l_l_suppkey, c.c_name AS c_c_name FROM customer c, lineitem l, nation n WHERE EXISTS (SELECT l_shipmode FROM (SELECT l_shipmode, l_quantity FROM lineitem ) AS subq_1 UNION SELECT c_phone FROM customer) AND n.n_nationkey > (SELECT COUNT(DISTINCT c_custkey) FROM (SELECT c_custkey FROM customer WHERE c_acctbal > 5000 UNION ALL SELECT o_custkey FROM orders WHERE o_totalprice < 1000) t JOIN nation ON n_nationkey = t.c_custkey) AND c.c_phone IN (SELECT c_phone FROM (SELECT c_phone, c_mktsegment FROM customer ) AS subq_3 UNION SELECT p_type FROM part) AND c.c_address IN (SELECT c_address FROM customer WHERE c_custkey IN (SELECT o_custkey FROM orders WHERE o_orderdate < '1995-01-01' UNION SELECT o_custkey FROM orders WHERE o_orderpriority = '2-HIGH')) AND l.l_quantity = (SELECT COUNT(DISTINCT o_custkey) FROM (SELECT o_custkey, o_totalprice FROM orders WHERE o_totalprice > 50000 ) t) AND n.n_nationkey = c.c_nationkey AND l.l_discount > 0.08186304619445509 AND l.l_tax <= 0.05622575236281226 AND c.c_mktsegment LIKE 'HOUSEHOLD%' AND n.n_regionkey = 0 AND l.l_linestatus LIKE 'O%'  GROUP BY c.c_name, l.l_suppkey LIMIT 50;"
6,tpch,"SELECT l.l_extendedprice AS l_l_extendedprice, COUNT(p.p_mfgr) AS count_p_p_mfgr, MIN(p.p_container) AS min_p_p_container, MIN(p.p_retailprice) AS min_p_p_retailprice, COUNT(l.l_quantity) AS count_l_l_quantity FROM customer c, lineitem l, nation n, part p WHERE l.l_extendedprice > (SELECT COUNT(*) FROM (SELECT p_brand FROM part UNION ALL SELECT n_name FROM nation ) t) AND c.c_custkey = (SELECT COUNT(DISTINCT ps_partkey) FROM (SELECT ps_partkey, ps_supplycost FROM partsupp WHERE ps_availqty > 50 ) t) AND p.p_retailprice = (SELECT COUNT(DISTINCT r_regionkey) FROM region WHERE r_name = 'EUROPE' AND (r_regionkey = 1 OR r_regionkey = 2) AND 9+9=18 AND r_regionkey IN (SELECT n_regionkey FROM nation WHERE n_name = 'GERMANY' AND 10*11=110)) AND n.n_regionkey = (SELECT COUNT(DISTINCT p_partkey) FROM part WHERE p_size IN (SELECT ps_partkey FROM partsupp WHERE ps_supplycost < 10 UNION SELECT ps_partkey FROM partsupp WHERE ps_availqty > 100)) AND l.l_extendedprice > (SELECT COUNT(DISTINCT o_orderkey) FROM orders WHERE o_custkey IN (SELECT c_custkey FROM customer WHERE c_acctbal < 500 INTERSECT SELECT c_custkey FROM customer WHERE c_mktsegment = 'BUILDING')) AND n.n_nationkey = c.c_nationkey AND c.c_nationkey >= 22 AND n.n_name LIKE 'IRAN%' AND p.p_mfgr LIKE 'Manufacturer#1%' AND p.p_name LIKE 'bisque antique orange misty pale%' AND p.p_brand LIKE 'Brand#22%'  GROUP BY l.l_extendedprice LIMIT 100;"
7,tpch,"SELECT o.o_comment AS o_o_comment, MIN(ps.ps_suppkey) AS min_ps_ps_suppkey, MAX(ps.ps_supplycost) AS max_ps_ps_supplycost, COUNT(ps.ps_comment) AS count_ps_ps_comment, SUM(c.c_acctbal) AS sum_c_c_acctbal FROM customer c, orders o, partsupp ps WHERE o.o_orderstatus IN (SELECT o_orderstatus FROM (SELECT o_orderstatus, o_totalprice FROM orders WHERE o_totalprice = 5000 ) AS subq_1 WHERE o_totalprice > 3000 ORDER BY o_totalprice) AND EXISTS (SELECT COUNT(*) FROM (SELECT c_mktsegment FROM customer UNION SELECT p_type FROM (SELECT p_type, COUNT(*) FROM part GROUP BY p_type HAVING COUNT(*) > 4) AS subq_2) AS t_2) AND c.c_nationkey = (SELECT COUNT(DISTINCT s_suppkey) FROM supplier WHERE s_nationkey IN (SELECT n_nationkey FROM nation WHERE n_regionkey = 1) AND s_acctbal > 4000 AND s_phone LIKE '18%') AND ps.ps_availqty = (SELECT COUNT(DISTINCT o_custkey) FROM orders JOIN (SELECT c_custkey FROM customer UNION ALL SELECT c_custkey FROM customer WHERE c_acctbal > 1000) AS cust_union_4 ON orders.o_custkey = cust_union_4.c_custkey) AND c.c_phone IN (SELECT DISTINCT c_phone FROM customer UNION SELECT DISTINCT s_phone FROM supplier WHERE s_acctbal > 5000 UNION SELECT DISTINCT l_returnflag FROM lineitem WHERE l_discount < 0.05) AND o.o_custkey = c.c_custkey AND ps.ps_supplycost < 282.24919439580907 AND c.c_custkey >= 53828 AND c.c_mktsegment LIKE 'MACHINERY%' AND o.o_totalprice = 489531.45826834353 AND ps.ps_suppkey < 6721  GROUP BY o.o_comment LIMIT 30;"
8,tpch,"SELECT SUM(l.l_tax) AS sum_l_l_tax, MAX(l.l_receiptDATE) AS max_l_l_receiptDATE, AVG(s.s_acctbal) AS avg_s_s_acctbal, AVG(l.l_suppkey) AS avg_l_l_suppkey, COUNT(l.l_receiptDATE) AS count_l_l_receiptDATE FROM lineitem l, orders o, supplier s WHERE EXISTS (SELECT AVG(l_extendedprice) FROM (SELECT l_extendedprice, l_shipmode FROM lineitem JOIN supplier ON l_suppkey = s_suppkey WHERE l_tax > 0.02 ) AS t_1 GROUP BY l_shipmode ORDER BY l_shipmode) AND l.l_quantity = (SELECT COUNT(DISTINCT o_orderkey) FROM orders WHERE o_custkey IN (SELECT c_custkey FROM customer WHERE c_acctbal < 500 INTERSECT SELECT c_custkey FROM customer WHERE c_mktsegment = 'BUILDING')) AND EXISTS (SELECT AVG(l_quantity) FROM (SELECT l_quantity, l_linestatus FROM lineitem JOIN part ON l_partkey = p_partkey ) AS t_3 GROUP BY l_linestatus ORDER BY l_linestatus) AND o.o_clerk IN (SELECT o_clerk FROM (SELECT o_clerk, o_totalprice FROM orders ) AS subq_4 UNION SELECT p_name FROM part) AND s.s_nationkey > (SELECT COUNT(DISTINCT l_linenumber) FROM (SELECT l_linenumber FROM lineitem WHERE l_quantity > 20 UNION ALL SELECT o_shippriority FROM orders WHERE o_totalprice < 500) t JOIN part ON p_partkey = t.l_linenumber) AND o.o_orderkey = l.l_orderkey AND l.l_extendedprice <= 11821.277969397044 AND s.s_nationkey >= 7 AND l.l_linestatus LIKE 'O%' AND s.s_suppkey = 7743 AND l.l_quantity < 18.001401603940515  LIMIT 100;"
9,tpch,"SELECT COUNT(s.s_name) AS count_s_s_name, SUM(s.s_suppkey) AS sum_s_s_suppkey, MIN(o.o_orderDATE) AS min_o_o_orderDATE, MIN(s.s_address) AS min_s_s_address, MAX(s.s_comment) AS max_s_s_comment FROM orders o, supplier s WHERE s.s_acctbal > (SELECT (16 * 4) + COUNT(DISTINCT p_partkey) FROM part WHERE p_container IN (SELECT l_shipmode FROM lineitem WHERE l_returnflag = 'N')) AND o.o_orderkey = (SELECT COUNT(*) FROM (SELECT r_name FROM region UNION ALL SELECT n_name FROM nation ) t) AND EXISTS (SELECT o_3.o_orderstatus FROM orders o_3 WHERE o_3.o_orderkey IN (SELECT l_3.l_orderkey FROM lineitem l_3 WHERE l_3.l_quantity < 15 UNION ALL SELECT l2_3.l_orderkey FROM lineitem l2_3 WHERE l2_3.l_extendedprice > 800 GROUP BY l2_3.l_orderkey) AND o_3.o_totalprice > 3000) AND s.s_nationkey = (SELECT COUNT(DISTINCT o_orderkey) FROM orders JOIN (SELECT c_custkey FROM customer WHERE c_mktsegment = 'BUILDING' UNION ALL SELECT c_custkey FROM customer WHERE c_acctbal < 500) AS cust_union_4 ON orders.o_custkey = cust_union_4.c_custkey) AND o.o_totalprice = (SELECT COUNT(DISTINCT p_size) FROM part JOIN (SELECT ps_partkey FROM partsupp UNION ALL SELECT ps_partkey FROM partsupp WHERE ps_supplycost < 10) AS partsupp_union_5 ON part.p_partkey = partsupp_union_5.ps_partkey) AND o.o_custkey > 55669 AND s.s_nationkey < 11 AND s.s_name LIKE 'Supplier#000002383%' AND s.s_acctbal > 1133.3521214999548 AND o.o_orderstatus LIKE 'O%'  LIMIT 50;"
10,tpch,"SELECT MAX(ps.ps_supplycost) AS max_ps_ps_supplycost, MAX(c.c_comment) AS max_c_c_comment, AVG(c.c_acctbal) AS avg_c_c_acctbal, AVG(c.c_custkey) AS avg_c_c_custkey, SUM(c.c_custkey) AS sum_c_c_custkey FROM customer c, partsupp ps WHERE c.c_acctbal = (SELECT COUNT(*) FROM (SELECT o_orderstatus FROM orders UNION ALL SELECT l_returnflag FROM lineitem ) t) AND ps.ps_partkey > (SELECT COUNT(DISTINCT o_orderkey) FROM orders WHERE o_custkey IN (SELECT c_custkey FROM customer WHERE c_acctbal > 1000 UNION SELECT c_custkey FROM customer WHERE c_mktsegment = 'AUTOMOBILE')) AND c.c_acctbal = (SELECT COUNT(DISTINCT o_orderkey) FROM orders WHERE o_custkey IN (SELECT c_custkey FROM customer WHERE c_acctbal < 800 INTERSECT SELECT c_custkey FROM customer WHERE c_mktsegment = 'HOUSEHOLD')) AND c.c_custkey IN (SELECT DISTINCT c_custkey FROM customer UNION SELECT o_custkey FROM orders WHERE o_totalprice > 1000) AND EXISTS (SELECT o_5.o_orderpriority FROM orders o_5 WHERE o_5.o_orderkey IN (SELECT l_5.l_orderkey FROM lineitem l_5 WHERE l_5.l_shipmode = 'AIR' UNION ALL SELECT l2_5.l_orderkey FROM lineitem l2_5 WHERE l2_5.l_returnflag = 'N' GROUP BY l2_5.l_orderkey) AND o_5.o_totalprice > 2000) AND c.c_custkey = 79709 AND c.c_name LIKE 'Customer#000014242%' AND ps.ps_supplycost < 146.79215144466542 AND c.c_nationkey <= 0 AND ps.ps_partkey > 152741  LIMIT 50;"
